type,code,message,context,selector,category
critical,best-practice,"Fix any of the following:
  maximum-scale on <meta> tag disables zooming on mobile devices","<meta name=""viewport"" content=""width=device-width,initial-scale=1,maximum-scale=1"">",head > meta,cat.sensory-and-visual-cues
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_search_image"" src=""https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2822%29.png"">",div.ant-card-cover > div.ant-row > div.ant-col > img.gfg_home_page_search_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_search_image"" src=""https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2821%29.png"">",div.ant-card-cover > div.ant-row > div.ant-col > img.gfg_home_page_search_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_search_image"" src=""https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2823%29.png"">",div.ant-card-cover > div.ant-row > div.ant-col > img.gfg_home_page_search_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_carousel_image"" src=""https://media.geeksforgeeks.org/wp-content/cdn-uploads/20201216211829/100-…"" style=""object-fit: cover;"">",a > div.ant-row > div.ant-col > img.gfg_home_page_carousel_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/Java-backend-live-thum…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_visit_count_image"" src=""https://media.geeksforgeeks.org/img-practice/Group7622-1669294650.svg"">",div.ant-col > div.ant-row > div > img.gfg_home_page_course_visit_count_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_rating_image"" src=""https://media.geeksforgeeks.org/img-practice/Path4648-1641537423.svg"">",div.ant-col > div.ant-row > div.gfg_home_page_course_card_rating > img.gfg_home_page_course_rating_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_level_image"" src=""https://media.geeksforgeeks.org/img-practice/Levels-1669283463.svg"">",div.ant-col > div.ant-row > div > img.gfg_home_page_course_level_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/devops-live-thumbnail.…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/dsa-self-paced-thumbna…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/Data-Structures-With-P…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/geeks-classes-live-thu…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/full-stack-node-thumbn…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""ant-image-img gfg_home_page_potd_image gfg_home_page_potd_image_small"" src=""https://media.geeksforgeeks.org/img-practice/Asset1-1641910145.svg"">",div.ant-col > div.ant-row > div.ant-image > img.ant-image-img,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_video_image"" src=""https://videocdn.geeksforgeeks.org/geeksforgeeks/HowtoAnswerTellMeAboutYou…"">",div.ant-card > div.ant-card-cover > div > img.gfg_home_page_video_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_video_image"" src=""https://videocdn.geeksforgeeks.org/geeksforgeeks/ThisiswhyyourResumegetsRe…"">",div.ant-card > div.ant-card-cover > div > img.gfg_home_page_video_image,cat.text-alternatives
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_video_image"" src=""https://videocdn.geeksforgeeks.org/geeksforgeeks/5DSAProjectsforyourResume…"">",div.ant-card > div.ant-card-cover > div > img.gfg_home_page_video_image,cat.text-alternatives
