"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"javascript:void(0)\" title=\"\" style=\"width: 0px; height: 0px; border: 0px; display: none;\" id=\"ae_iframe_9oi1slf3\"></iframe>","#ae_iframe_9oi1slf3"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"at-0\" found on the web page.","<style id=\"at-0\" class=\"at-flicker-control\"> {visibility: hidden;}</style>","#at-0"
