"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img id=\"adblock-detection\" src=\"/adBlockBait.png?ad_type=FakeAd\">","#adblock-detection"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name","This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.","<fieldset name=\"flightType\" class=\"app-components-BookFlightForm-bookFlightForm__radioFieldGroup--3IMzX\"><div class=\"app-components-Book...</fieldset>","#bookFlightForm > div:nth-child(1) > fieldset"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend","Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.","<fieldset name=\"flightType\" class=\"app-components-BookFlightForm-bookFlightForm__radioFieldGroup--3IMzX\"><div class=\"app-components-Book...</fieldset>","#bookFlightForm > div:nth-child(1) > fieldset"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend","Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.","<fieldset class=\"app-containers-Carousel-carousel__navigation--CmSUB\" aria-label=\"Carousel buttons\" aria-controls=\"carousel-homepage-container\" aria-live=\"off\"><button aria-label=\"Pause\" clas...</fieldset>","#app > div > div > div > div:nth-child(3) > div:nth-child(3) > div > div > div:nth-child(1) > div > main > section > div > div > div:nth-child(3) > div > div:nth-child(1) > div > div > article > fieldset"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe style=\"display: none;\"></iframe>","html > b > iframe"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","Interfering with a user agent's ability to zoom may be a failure of this Success Criterion.","<meta name=\"viewport\" content=\"width=device-width,initial-scale=1,maximum-scale=1,user-scalable=no\">","html > head > meta:nth-child(2)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","<noscript>United Airlines - Airline Ticke...</noscript>","html > body > noscript:nth-child(3)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 3:1.","<h1 class=\"visuallyHidden\">Welcome to United.com</h1>","#app > div > div > div > div:nth-child(3) > div:nth-child(2) > h1"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","<a href=\"#travelTab\" class=\"skipMenuNavigation\">Skip to book</a>","#app > div > div > div > div:nth-child(3) > div:nth-child(2) > a"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span>United logo link to homepage</span>","#app > div > div > div > div:nth-child(3) > div:nth-child(3) > header > div > div > div:nth-child(1) > div > div > div > div:nth-child(1) > div > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<div data-focus-guard=\"true\" tabindex=\"-1\" style=\"width: 1px; height: 0px; padding: 0px; overflow: hidden; position: fixed; top: 1px; left: 1px;\"></div>","#app > div > div > div > div:nth-child(3) > div:nth-child(3) > header > div > div > div:nth-child(1) > div > div > div > div:nth-child(2) > nav > ul > li:nth-child(1) > div > div > div:nth-child(2)"
