type,code,message,context_x,selector,category,context_y
critical,best-practice,"Fix any of the following:
  maximum-scale on <meta> tag disables zooming on mobile devices","<meta name=""viewport"" content=""width=device-width,initial-scale=1,maximum-scale=1"">",head > meta,cat.sensory-and-visual-cues,"<meta name=""viewport"" content=""width=device-width,initial-scale=1,maximum-scale=1"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_search_image"" src=""https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2822%29.png"">",div.ant-card-cover > div.ant-row > div.ant-col > img.gfg_home_page_search_image,cat.text-alternatives,"<img class=""gfg_home_page_search_image"" src=""https://media.geeksforgeeks.org/auth-dashboard-uploads/read.png"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_carousel_image"" src=""https://media.geeksforgeeks.org/wp-content/cdn-uploads/20201216211829/100-…"" style=""object-fit: cover;"">",a > div.ant-row > div.ant-col > img.gfg_home_page_carousel_image,cat.text-alternatives,"<img class=""gfg_home_page_carousel_image"" src=""https://media.geeksforgeeks.org/wp-content/cdn-uploads/20201216211829/100-…"" style=""object-fit: cover;"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/Java-backend-live-thum…"">",div.ant-card > div.ant-card-cover > div.gfg_home_page_course_card_cover > img.gfg_home_page_course_card_image,cat.text-alternatives,"<img class=""gfg_home_page_course_card_image"" src=""https://media.geeksforgeeks.org/img-practice/banner/Java-backend-live-thum…"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_visit_count_image"" src=""https://media.geeksforgeeks.org/img-practice/Group7622-1669294650.svg"">",div.ant-col > div.ant-row > div > img.gfg_home_page_course_visit_count_image,cat.text-alternatives,"<img class=""gfg_home_page_course_visit_count_image"" src=""https://media.geeksforgeeks.org/img-practice/Group7622-1669294650.svg"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_rating_image"" src=""https://media.geeksforgeeks.org/img-practice/Path4648-1641537423.svg"">",div.ant-col > div.ant-row > div.gfg_home_page_course_card_rating > img.gfg_home_page_course_rating_image,cat.text-alternatives,"<img class=""gfg_home_page_course_rating_image"" src=""https://media.geeksforgeeks.org/img-practice/Path4648-1641537423.svg"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_course_level_image"" src=""https://media.geeksforgeeks.org/img-practice/Levels-1669283463.svg"">",div.ant-col > div.ant-row > div > img.gfg_home_page_course_level_image,cat.text-alternatives,"<img class=""gfg_home_page_course_level_image"" src=""https://media.geeksforgeeks.org/img-practice/Levels-1669283463.svg"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""ant-image-img gfg_home_page_potd_image gfg_home_page_potd_image_small"" src=""https://media.geeksforgeeks.org/img-practice/Asset1-1641910145.svg"">",div.ant-col > div.ant-row > div.ant-image > img.ant-image-img,cat.text-alternatives,"<img class=""ant-image-img gfg_home_page_potd_image "" src=""https://media.geeksforgeeks.org/img-practice/Asset1-1641910145.svg"">"
critical,wcag111,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img class=""gfg_home_page_video_image"" src=""https://videocdn.geeksforgeeks.org/geeksforgeeks/HowtoAnswerTellMeAboutYou…"">",div.ant-card > div.ant-card-cover > div > img.gfg_home_page_video_image,cat.text-alternatives,"<img class=""gfg_home_page_video_image"" src=""https://videocdn.geeksforgeeks.org/geeksforgeeks/HowtoAnswerTellMeAboutYou…"">"
critical,wcag412,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button class=""gcse-search__btn not-expanded"">",ul.header-main__left-list > li.header-main__left-list-item > form#gcse-form > button.gcse-search__btn,cat.name-role-value,"<button class=""gcse-search__btn not-expanded"">"
