type,code,message,context,selector
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #ffffff, background color: #f96302, font size: 8.3pt (11px), font weight: normal). Expected contrast ratio of 4.5:1",<span>,/html[1]/body[3]/div[1]/div[0]/a[0]/span[0]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #f96302, background color: #ffffff, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1","<button aria-controls=""tabpanel-0"" class=""tabs__item--cqq1q tabs__item--selected--cqq1q"" type=""button"" value=""0"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[3]/div[0]/div[0]/div[2]/div[0]/button[1]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #ffffff, background color: #f96302, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1","<span class=""bttn__content--e4t5c"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[4]/section[0]/div[0]/div[1]/div[0]/a[1]/span[0]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #ffffff, background color: #f96302, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1","<span class=""bttn__content--e4t5c"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[6]/section[0]/div[0]/article[0]/div[1]/a[1]/span[0]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #f96302, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1","<a href=""/b/Tools/Special-Values/N-5yc1vZc1xyZ7"" class=""sui-btn sui-btn-secondary sui-btn-secondary-focus sui-w-full sm:sui-w-fit …"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[7]/section[0]/div[1]/div[0]/div[0]/div[0]/a[3]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #f96302, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1","<a href=""/b/Outdoors-Patio-Furniture/Mix-Match/N-5yc1vZbx4oZ1z1a4bx?cm_sp=vanity-_-…"" class=""sui-btn sui-btn-secondary sui-btn-secondary-focus sui-w-full sm:sui-w-fit …"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[7]/section[0]/div[1]/div[1]/div[0]/div[0]/a[3]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #f96302, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1","<a href=""/b/Outdoors-Garden-Center/N-5yc1vZbx6k"" class=""sui-btn sui-btn-secondary sui-btn-secondary-focus sui-w-full sm:sui-w-fit …"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[7]/section[0]/div[1]/div[2]/div[0]/div[0]/a[3]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.08 (foreground color: #f96302, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1","<a href=""/b/Home-Decor/Special-Values/N-5yc1vZas6pZ7"" class=""sui-btn sui-btn-secondary sui-btn-secondary-focus sui-w-full sm:sui-w-fit …"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[7]/section[0]/div[1]/div[3]/div[0]/div[0]/a[3]
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element","<li class=""slide"" style=""background: rgb(245, 245, 245);"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[2]/div[0]/div[0]/div[0]/div[0]/div[1]/div[0]/li[0]
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element","<li class=""slide selected"">",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[2]/div[0]/div[0]/div[0]/div[0]/div[1]/div[0]/li[1]
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: ma-hdcc","<a id=""ma-hdcc"" href=""//www.homedepot.com/account/view/paymentcards"" class=""ma-drawer__item"">",/html[1]/body[3]/div[3]/div[4]/div[0]/div[0]/div[1]/div[1]/a[0]
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: ma-military","<a id=""ma-military"" href=""//www.homedepot.com/auth/view/signin?redirect=/military/discount"" class=""ma-drawer__item"">",/html[1]/body[3]/div[3]/div[4]/div[0]/div[0]/div[1]/div[2]/a[0]
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: ma-myaccount-profile","<a id=""ma-myaccount-profile"" href=""//www.homedepot.com/auth/view/signin?redirect=/myaccount/profile"" class=""ma-drawer__item"">",/html[1]/body[3]/div[3]/div[4]/div[0]/div[0]/div[1]/div[3]/a[0]
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: ma-lists","<a id=""ma-lists"" href=""//www.homedepot.com/auth/view/signin?redirect=/list/view/summary"" class=""ma-drawer__item"">",/html[1]/body[3]/div[3]/div[4]/div[0]/div[0]/div[1]/div[4]/a[0]
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: ma-securitypassword","<a id=""ma-securitypassword"" href=""//www.homedepot.com/account/ui/security"" class=""ma-drawer__item"">",/html[1]/body[3]/div[3]/div[4]/div[0]/div[0]/div[1]/div[5]/a[0]
serious,"wcag241,wcag412","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<iframe allowtransparency=""false"" frameborder=""0"" hspace=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" vspace=""0"" width=""1280"" height=""640"" name=""revjet-single-iframe"" data-revjet-options=""{&quot;embd_tag_id&quot;:&quot;hp_sponsored__hero&quot;,&quot;autoscale&quot;:true}"" importance=""high"" srcdoc=""<!DOCTYPE html>",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[1]/div[0]/div[1]/div[3]/div[0]/ins[0]/ins[0]/iframe[0]
serious,"wcag241,wcag412","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<iframe allowtransparency=""false"" frameborder=""0"" hspace=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" vspace=""0"" width=""1280"" height=""482"" name=""revjet-single-iframe"" data-revjet-options=""{&quot;embd_tag_id&quot;:&quot;hp_sponsored__banner&quot;,&quot;autoscale&quot;:true}"" importance=""high"" srcdoc=""<!DOCTYPE html>",/html[1]/body[3]/div[5]/div[0]/div[0]/div[0]/div[2]/div[0]/div[0]/div[0]/div[0]/div[1]/div[0]/li[1]/div[0]/ins[0]/ins[0]/iframe[0]
