type,code,message,context,selector,selector,
error,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name,"This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.","<fieldset>\n<input type=\hidden\"" name=\""fam...</fieldset>""",#search-form > fieldset,#search-form > fieldset,#search-form > fieldset
error,WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend,Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.,"<fieldset>\n<input type=\hidden\"" name=\""fam...</fieldset>""",#search-form > fieldset,#search-form > fieldset,#search-form > fieldset
error,WCAG2AA.Principle3.Guideline3_1.3_1_2.H58.1.Lang,The language specified in the lang attribute of this element does not appear to be well-formed.,"<a class=\jsl10n\"" href=\""https://meta.wikimedia.org/wiki/Special:MyLanguage/List_of_Wikipedias\"" lang=\""\"" data-jsl10n=\""other-languages-label\"">Other languages</a>""",#js-lang-lists > div:nth-child(11) > a,#js-lang-lists > div:nth-child(11) > a,#js-lang-lists > div:nth-child(11) > a
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 3:1.,"<span class=\central-textlogo__image sprite svg-Wikipedia_wordmark\"">\nWikipedia\n</span>""",#www-wikipedia-org > div:nth-child(1) > h1 > span,#www-wikipedia-org > div:nth-child(1) > h1 > span,#www-wikipedia-org > div:nth-child(1) > h1 > span
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>English</strong>,#js-link-box-en > strong,#jsLangLabel,#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">6&nbsp;606&nbsp;000+</bdi>""",#js-link-box-en > small > bdi,#searchLanguage,#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>articles</span>,#js-link-box-en > small > span,#searchLanguage > option:nth-child(1),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>Русский</strong>,#js-link-box-ru > strong,#searchLanguage > option:nth-child(2),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">1&nbsp;887&nbsp;000+</bdi>""",#js-link-box-ru > small > bdi,#searchLanguage > option:nth-child(3),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>статей</span>,#js-link-box-ru > small > span,#searchLanguage > option:nth-child(4),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>日本語</strong>,#js-link-box-ja > strong,#searchLanguage > option:nth-child(5),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">1&nbsp;359&nbsp;000+</bdi>""",#js-link-box-ja > small > bdi,#searchLanguage > option:nth-child(6),#N/A
