"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"https://static01.nyt.com/ads/tpc-check.html\" id=\"3pCheckIframeId\" height=\"0\" width=\"0\" style=\"display: none;\"></iframe>","#3pCheckIframeId"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Shape\" found on the web page.","<polyline id=\"Shape\" fill=\"#a61b1e\" fill-rule=\"nonzero\" points=\"4.86293961 4.09179688 2.5 0 0.13706039 4.09179688\"></polyline>","#Shape"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Page-1\" found on the web page.","<g id=\"Page-1\" stroke=\"none\" stroke-width=\"1\" fill=\"none\" fill-rule=\"evenodd\"><g id=\"Artboard\"><g id=\"Group\">...</g>","#Page-1"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Artboard\" found on the web page.","<g id=\"Artboard\"><g id=\"Group\"><path d=\"M2.5,9 L...</g>","#Artboard"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Group\" found on the web page.","<g id=\"Group\"><path d=\"M2.5,9 L2.5,3.373\" id=...</g>","#Group"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Shape\" found on the web page.","<path d=\"M2.5,9 L2.5,3.373\" id=\"Shape\" stroke=\"#3f893b\"></path>","#Shape"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Shape\" found on the web page.","<polyline id=\"Shape\" fill=\"#3f893b\" fill-rule=\"nonzero\" points=\"4.86293961 4.09179688 2.5 0 0.13706039 4.09179688\"></polyline>","#Shape"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Page-1\" found on the web page.","<g id=\"Page-1\" stroke=\"none\" stroke-width=\"1\" fill=\"none\" fill-rule=\"evenodd\"><g id=\"Artboard\"><g id=\"Group\">...</g>","#Page-1"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Artboard\" found on the web page.","<g id=\"Artboard\"><g id=\"Group\"><path d=\"M2.5,9 L...</g>","#Artboard"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Group\" found on the web page.","<g id=\"Group\"><path d=\"M2.5,9 L2.5,3.373\" id=...</g>","#Group"
